		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	LABELS	Gender nohrs	Gender nohrs	Gender nohrs	Citizenship nohrs	Citizenship nohrs	Citizenship nohrs	NCFvsCF nohrs	NCFvsCF nohrs	NCFvsCF nohrs	NCFvsNCM nohrs	NCFvsNCM nohrs	NCFvsNCM nohrs	Gender hrs	Gender hrs	Gender hrs	Citizenship hrs	Citizenship hrs	Citizenship hrs	NCFvsCF hrs	NCFvsCF hrs	NCFvsCF hrs	NCFvsNCM hrs	NCFvsNCM hrs	NCFvsNCM hrs
																									
GrpAge			0.00200	0.00853**		-0.0153***	-0.0402***		0.0234***	0.0233**		0.000499	-0.0334***		0.000115	-0.00798***		0.00988***	0.00733		-0.00486	-0.0116*		0.000855	-0.00192
			(0.00164)	(0.00404)		(0.00512)	(0.00782)		(0.00550)	(0.0109)		(0.00354)	(0.0115)		(0.000856)	(0.00255)		(0.00310)	(0.00530)		(0.00317)	(0.00697)		(0.00197)	(0.00729)
GrpEng			-0.00350***	-0.00532***		0.135***	0.0341***		-0.105***	-0.0735***		0.00833***	-0.0321***		-0.00296***	-0.00533***		0.116***	0.0220***		-0.0907***	-0.0393***		0.00684***	0.00403
			(0.000717)	(0.00131)		(0.0104)	(0.00942)		(0.0110)	(0.0113)		(0.00313)	(0.0113)		(0.000615)	(0.00112)		(0.00896)	(0.00727)		(0.00942)	(0.00779)		(0.00260)	(0.00877)
GrpEduc			-0.0381***	-0.00166		0.0817***	0.0278***		-0.0859***	-0.0512***		0.0204***	-0.0350***		-0.0319***	0.00395		0.0673***	-0.00320		-0.0706***	-0.0169**		0.0201***	-0.0348***
			(0.00278)	(0.00599)		(0.0141)	(0.00808)		(0.0135)	(0.0117)		(0.00515)	(0.0133)		(0.00234)	(0.00453)		(0.0119)	(0.00692)		(0.0114)	(0.00783)		(0.00486)	(0.00897)
GrpKids			-0.00104***	0.0677***		0.00918***	0.0196**		-0.0237***	0.0147		-1.79e-05	-0.0556***		-0.000427**	0.0349***		-0.00174	0.0392***		-0.00553***	-0.0206**		-0.000663	-0.0245***
			(0.000247)	(0.00455)		(0.00165)	(0.00788)		(0.00329)	(0.0123)		(0.00112)	(0.0136)		(0.000175)	(0.00261)		(0.00122)	(0.00611)		(0.00139)	(0.00826)		(0.000916)	(0.00914)
GrpKids5			0.00217***	-0.00773***		-0.00890***	0.000528		0.00695***	-0.00871**		-0.00417***	-0.000260		0.000931***	-0.0104***		-0.00348***	-0.00540***		0.00385***	-0.000853		-0.00258***	0.00461
			(0.000194)	(0.00133)		(0.000849)	(0.00257)		(0.000895)	(0.00398)		(0.000831)	(0.00508)		(0.000109)	(0.000957)		(0.000435)	(0.00197)		(0.000554)	(0.00258)		(0.000583)	(0.00346)
GrpMar			0.00416***	-0.0904***		-0.00443***	-0.0224***		-5.86e-05	0.0111		-0.00262**	0.0490***		0.00443***	-0.0440***		-0.00371***	-0.0145***		0.00105*	0.00812*		-0.00347***	0.0218***
			(0.000689)	(0.00368)		(0.00153)	(0.00489)		(0.000311)	(0.00744)		(0.00129)	(0.00912)		(0.000556)	(0.00244)		(0.00117)	(0.00374)		(0.000624)	(0.00486)		(0.00100)	(0.00596)
GrpYear			0.000143**	-0.00275		0.000985**	0.00405		-0.000561	-0.0253		0.000857*	-0.0371		0.000102**	0.000738		0.000629**	-0.0144		-0.000315	0.00292		0.000599	-0.0210
			(6.52e-05)	(0.00636)		(0.000387)	(0.0122)		(0.000451)	(0.0192)		(0.000512)	(0.0263)		(4.48e-05)	(0.00456)		(0.000246)	(0.0101)		(0.000275)	(0.0152)		(0.000402)	(0.0201)
GrpInd			0.0689***	-0.183***		0.00281	0.0996***		-0.0331***	-0.142		-0.0549***	0.131		0.0354***	0.0194		0.00219	0.0766***		-0.0189***	-0.0772		-0.0363***	-0.0102
			(0.00362)	(0.0480)		(0.00569)	(0.0353)		(0.00558)	(0.0904)		(0.00639)	(0.0814)		(0.00256)	(0.0281)		(0.00325)	(0.0280)		(0.00311)	(0.0562)		(0.00471)	(0.0458)
group_1		10.62***			10.45***			9.960***			9.960***			10.62***			10.45***			9.960***			9.960***		
		(0.0187)			(0.0167)			(0.0297)			(0.0297)			(0.0189)			(0.0166)			(0.0295)			(0.0295)		
group_2		10.24***			10.20***			10.26***			10.37***			10.24***			10.20***			10.26***			10.37***		
		(0.0172)			(0.0303)			(0.0168)			(0.0331)			(0.0166)			(0.0300)			(0.0164)			(0.0328)		
difference		0.378***			0.249***			-0.297***			-0.406***			0.378***			0.249***			-0.297***			-0.406***		
		(0.00897)			(0.0224)			(0.0234)			(0.0152)			(0.00889)			(0.0220)			(0.0233)			(0.0151)		
explained		0.0348***			0.201***			-0.218***			-0.0316***			0.181***			0.219***			-0.255***			-0.213***		
		(0.00476)			(0.0211)			(0.0222)			(0.0100)			(0.00664)			(0.0190)			(0.0204)			(0.0123)		
unexplained		0.344***			0.0483***			-0.0791***			-0.375***			0.197***			0.0307***			-0.0417***			-0.193***		
		(0.00779)			(0.0126)			(0.0143)			(0.0132)			(0.00511)			(0.0101)			(0.0103)			(0.00980)		
GrpHours															0.175***	-0.0741**		0.0313***	0.498***		-0.0694***	-0.588***		-0.198***	-0.151
															(0.00492)	(0.0353)		(0.00640)	(0.0769)		(0.00832)	(0.0950)		(0.00768)	(0.129)
Constant	Constant			0.559***			-0.0748			0.173*			-0.361***			0.280***			-0.575***			0.702***			0.0200
				(0.0515)			(0.0482)			(0.102)			(0.0903)			(0.0490)			(0.0829)			(0.112)			(0.151)
																									
Observations		512,807	512,807	512,807	512,807	512,807	512,807	248,563	248,563	248,563	33,749	33,749	33,749	512,807	512,807	512,807	512,807	512,807	512,807	248,563	248,563	248,563	33,749	33,749	33,749
Robust standard errors in parentheses																									
*** p<0.01, ** p<0.05, * p<0.1																									
