Log Annual Wage: Gender and Citizenship							
		(1)	(2)	(3)	(4)	(5)	(6)
				M3 + marital			
VARIABLES	LABELS	M1 Unadjusted	M2 + human capital	kids<5	M4 + hours	M5 full FE	M6 full FE + hours
							
1.citizen_cat	Citizenship Status = 1, Naturalized Citizen	0.117***	0.030**	0.004	0.025**	-0.004	-0.002
		(0.025)	(0.012)	(0.012)	(0.012)	(0.017)	(0.013)
2.citizen_cat	Citizenship Status = 2, Non-Citizen	-0.263***	-0.033**	-0.058***	-0.035**	-0.071***	-0.059***
		(0.029)	(0.016)	(0.016)	(0.014)	(0.018)	(0.014)
2.sex	sex = 2, female	-0.386***	-0.423***	-0.542***	-0.299***	-0.461***	-0.260***
		(0.011)	(0.011)	(0.011)	(0.007)	(0.009)	(0.006)
1.citizen_cat#2.sex		0.022	0.045**	0.088***	0.051***	0.067***	0.040***
		(0.019)	(0.020)	(0.019)	(0.012)	(0.017)	(0.011)
2.citizen_cat#2.sex		-0.021	-0.023	-0.006	0.021**	-0.012	0.016*
		(0.016)	(0.014)	(0.014)	(0.010)	(0.012)	(0.008)
Constant	Constant	10.630***	10.625***	10.777***	3.005***	10.762***	3.217***
		(0.022)	(0.014)	(0.015)	(0.037)	(0.007)	(0.035)
							
Observations		512,807	512,807	512,807	512,807	512,807	512,807
R-squared		0.042	0.344	0.356	0.668	0.409	0.698
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
